location,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
United States,2021-03-05,19.47,10.74,30.77
United States,2021-03-06,19.87,11.0,31.4
United States,2021-03-07,20.08,11.11,31.68
United States,2021-03-08,20.52,11.37,32.33
United States,2021-03-09,21.07,11.7,33.15
United States,2021-03-10,21.69,12.09,34.1
United States,2021-03-11,22.38,12.51,35.15
United States,2021-03-12,23.03,12.98,36.19
United States,2021-03-13,23.45,13.29,36.85
United States,2021-03-14,23.64,13.42,37.15
United States,2021-03-15,24.09,13.68,37.83
United States,2021-03-16,24.67,14.0,38.71
United States,2021-03-17,25.31,14.35,39.66
United States,2021-03-18,26.01,14.72,40.69
United States,2021-03-19,26.67,15.09,41.69
United States,2021-03-20,27.1,15.35,42.34
United States,2021-03-21,27.3,15.46,42.65
United States,2021-03-22,27.78,15.71,43.36
United States,2021-03-23,28.38,16.06,44.28
United States,2021-03-24,29.04,16.49,45.35
United States,2021-03-25,29.72,16.99,46.5
United States,2021-03-26,30.35,17.54,47.65
United States,2021-03-27,30.76,17.89,48.4
United States,2021-03-28,30.97,18.06,48.76
United States,2021-03-29,31.45,18.44,49.62
United States,2021-03-30,32.06,18.95,50.7
United States,2021-03-31,32.78,19.53,51.95
United States,2021-04-01,33.54,20.22,53.33
United States,2021-04-02,34.16,20.77,54.43
United States,2021-04-03,34.56,21.12,55.13
United States,2021-04-04,34.69,21.23,55.36
United States,2021-04-05,35.21,21.72,56.29
United States,2021-04-06,35.9,22.35,57.49
United States,2021-04-07,36.67,23.04,58.8
United States,2021-04-08,37.44,23.81,60.16
United States,2021-04-09,38.17,24.55,61.46
United States,2021-04-10,38.69,25.05,62.33
United States,2021-04-11,38.94,25.29,62.76
United States,2021-04-12,39.44,25.81,63.67
United States,2021-04-13,39.97,26.33,64.72
United States,2021-04-14,40.49,26.91,65.83
United States,2021-04-15,41.02,27.5,66.97
United States,2021-04-16,41.52,28.08,68.06
United States,2021-04-17,41.87,28.44,68.77
United States,2021-04-18,42.03,28.61,69.11
United States,2021-04-19,42.36,29.06,69.89
United States,2021-04-20,42.77,29.61,70.87
United States,2021-04-21,43.19,30.23,71.92
United States,2021-04-22,43.62,30.85,72.98
United States,2021-04-23,44.03,31.43,73.98
United States,2021-04-24,44.33,31.79,74.64
United States,2021-04-25,44.48,31.94,74.94
United States,2021-04-26,44.76,32.37,75.67
United States,2021-04-27,45.1,32.91,76.54
United States,2021-04-28,45.44,33.5,77.47
United States,2021-04-29,45.78,34.1,78.4
United States,2021-04-30,46.12,34.66,79.28
United States,2021-05-01,46.34,35.01,79.84
United States,2021-05-02,46.43,35.19,80.11
United States,2021-05-03,46.63,35.61,80.7
United States,2021-05-04,46.88,36.15,81.46
United States,2021-05-05,47.12,36.69,82.23
United States,2021-05-06,47.36,37.24,82.99
United States,2021-05-07,47.6,37.78,83.75
United States,2021-05-08,47.75,38.11,84.22
United States,2021-05-09,47.81,38.25,84.41
United States,2021-05-10,47.96,38.6,84.89
United States,2021-05-11,48.16,39.04,85.51
United States,2021-05-12,48.35,39.48,86.12
United States,2021-05-13,48.63,39.9,86.81
United States,2021-05-14,48.96,40.34,87.55
United States,2021-05-15,49.24,40.64,88.11
United States,2021-05-16,49.38,40.79,88.4
United States,2021-05-17,49.65,41.09,88.95
United States,2021-05-18,49.95,41.45,89.58
United States,2021-05-19,50.25,41.8,90.21
United States,2021-05-20,50.53,42.16,90.82
United States,2021-05-21,50.81,42.53,91.44
United States,2021-05-22,51.03,42.76,91.88
United States,2021-05-23,51.13,42.87,92.08
United States,2021-05-24,51.32,43.09,92.48
United States,2021-05-25,51.53,43.35,92.92
United States,2021-05-26,51.73,43.6,93.35
United States,2021-05-27,51.91,43.85,93.76
United States,2021-05-28,52.1,44.08,94.16
United States,2021-05-29,52.21,44.21,94.4
United States,2021-05-30,52.27,44.27,94.51
United States,2021-05-31,52.3,44.31,94.58
United States,2021-06-01,52.46,44.55,94.96
United States,2021-06-02,52.61,44.76,95.3
United States,2021-06-03,52.75,45.01,95.68
United States,2021-06-04,52.9,45.31,96.11
United States,2021-06-05,53.01,45.53,96.43
United States,2021-06-06,53.06,45.64,96.59
United States,2021-06-07,53.17,45.87,96.92
United States,2021-06-08,53.29,46.12,97.27
United States,2021-06-09,53.41,46.37,97.63
United States,2021-06-10,53.53,46.62,97.98
United States,2021-06-11,53.66,46.88,98.35
United States,2021-06-12,53.75,47.07,98.62
United States,2021-06-13,53.78,47.16,98.74
United States,2021-06-14,53.88,47.35,99.02
United States,2021-06-15,53.99,47.55,99.32
United States,2021-06-16,54.1,47.74,99.6
United States,2021-06-17,54.21,47.92,99.88
United States,2021-06-18,54.32,48.1,100.16
United States,2021-06-19,54.39,48.21,100.33
United States,2021-06-20,54.42,48.27,100.41
United States,2021-06-21,54.51,48.36,100.58
United States,2021-06-22,54.61,48.5,100.81
United States,2021-06-23,54.71,48.63,101.04
United States,2021-06-24,54.8,48.76,101.25
United States,2021-06-25,54.91,48.9,101.48
United States,2021-06-26,54.98,48.99,101.63
United States,2021-06-27,55.02,49.03,101.71
United States,2021-06-28,55.1,49.13,101.88
United States,2021-06-29,55.19,49.24,102.07
United States,2021-06-30,55.28,49.34,102.26
United States,2021-07-01,55.37,49.44,102.45
United States,2021-07-02,55.46,49.55,102.64
United States,2021-07-03,55.52,49.61,102.74
United States,2021-07-04,55.53,49.61,102.76
United States,2021-07-05,55.59,49.68,102.88
United States,2021-07-06,55.67,49.78,103.06
United States,2021-07-07,55.76,49.88,103.23
United States,2021-07-08,55.84,49.97,103.4
United States,2021-07-09,55.94,50.08,103.59
United States,2021-07-10,56.0,50.14,103.71
United States,2021-07-11,56.04,50.17,103.78
United States,2021-07-12,56.12,50.25,103.94
United States,2021-07-13,56.21,50.34,104.09
United States,2021-07-14,56.29,50.42,104.26
United States,2021-07-15,56.38,50.5,104.42
United States,2021-07-16,56.49,50.59,104.61
United States,2021-07-17,56.55,50.65,104.73
United States,2021-07-18,56.59,50.68,104.8
United States,2021-07-19,56.7,50.76,104.97
United States,2021-07-20,56.81,50.84,105.15
United States,2021-07-21,56.93,50.92,105.34
United States,2021-07-22,57.05,51.0,105.54
United States,2021-07-23,57.2,51.08,105.77
United States,2021-07-24,57.29,51.14,105.91
United States,2021-07-25,57.35,51.15,105.98
United States,2021-07-26,57.48,51.22,106.18
United States,2021-07-27,57.63,51.3,106.39
United States,2021-07-28,57.78,51.38,106.61
United States,2021-07-29,57.93,51.45,106.83
United States,2021-07-30,58.1,51.54,107.08
United States,2021-07-31,58.21,51.6,107.24
United States,2021-08-01,58.28,51.63,107.34
United States,2021-08-02,58.43,51.7,107.56
United States,2021-08-03,58.59,51.78,107.79
United States,2021-08-04,58.76,51.85,108.03
United States,2021-08-05,58.93,51.94,108.27
United States,2021-08-06,59.12,52.03,108.54
United States,2021-08-07,59.23,52.09,108.71
United States,2021-08-08,59.31,52.12,108.82
United States,2021-08-09,59.46,52.21,109.06
United States,2021-08-10,59.63,52.3,109.3
United States,2021-08-11,59.78,52.39,109.53
