location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate
Burkina Faso,22056.0,396.0,22673764.0,972.7542370115523,17.465119598139946,1.7954298150163224
Burundi,54366.0,15.0,12889583.0,4217.82457974009,1.1637304325516193,0.027590773645293016
Cambodia,138941.0,3056.0,16767851.0,8286.154260316365,182.2535278969261,2.1994947495699613
Cameroon,125090.0,1974.0,27914542.0,4481.1768718970925,70.7158297635691,1.578063794068271
Canada,4716205.0,53297.0,38454328.0,122644.32237640454,1385.981832786156,1.1300823437488405
Cape Verde,64401.0,415.0,593162.0,108572.3630306729,699.6402331909327,0.6443999316780795
Cayman Islands,31472.0,37.0,68722.0,457961.0605046419,538.4010942638456,0.1175648195221149
Central African Republic,15367.0,113.0,5579148.0,2754.3632110135813,20.253988601843865,0.7353419665517017
Chad,7698.0,194.0,17723312.0,434.34319725342533,10.946035368558652,2.5201351000259806
Chile,5288843.0,64497.0,19603736.0,269787.50376968965,3290.036144130894,1.219491673320611
China,99315684.0,121742.0,1425887360.0,69651.84402784803,85.37981569596073,0.12258084030312875
Colombia,6382432.0,142942.0,51874028.0,123037.13912480442,2755.560065626675,2.239616497285047
Comoros,9109.0,161.0,836783.0,10885.737401452945,192.40352636227075,1.7674827094082777
Congo,25196.0,389.0,5970430.0,4220.131548313941,65.1544361126418,1.5438958564851564
Cook Islands,7168.0,2.0,17032.0,420854.8614372945,117.42602160638798,0.027901785714285712
Costa Rica,1238884.0,9428.0,5180836.0,239128.2024754306,1819.7835252843363,0.7610074873838067
Cote d'Ivoire,88338.0,835.0,28160548.0,3136.941795308813,29.65141161315469,0.9452330820258552
Croatia,1275762.0,18374.0,4030361.0,316537.8982180504,4558.8968333109615,1.4402372856379166
Cuba,1115103.0,8530.0,11212198.0,99454.45130383891,760.7785734786346,0.7649517578196813
Curacao,45883.0,305.0,191173.0,240007.7416790028,1595.413578277267,0.6647342152867075
Cyprus,660854.0,1364.0,896007.0,737554.505712567,1522.3095355281823,0.20639959809579728
Czechia,4657581.0,42884.0,10493990.0,443833.1845179955,4086.5295278535623,0.9207354633231284
Democratic Republic of Congo,99181.0,1468.0,99010216.0,1001.7249129120171,14.826752827203205,1.4801222008247548
Denmark,3417017.0,8824.0,5882259.0,580902.1670076071,1500.103956660188,0.25823693590052377
Djibouti,15690.0,189.0,1120851.0,13998.292368923256,168.6218774841616,1.2045889101338432
Dominica,15798.0,74.0,72758.0,217130.76225294813,1017.070287803403,0.46841372325610836
Dominican Republic,667074.0,4384.0,11228821.0,59407.30553991376,390.42389223231896,0.6571984517459832
Ecuador,1069139.0,36043.0,18001002.0,59393.30488380591,2002.2774287786867,3.371217400169669
Egypt,516023.0,24830.0,110990096.0,4649.2706880801325,223.71365459491088,4.8118010243729445
El Salvador,201808.0,4230.0,6336393.0,31849.03461638191,667.5722291846481,2.0960516926980097
Equatorial Guinea,17130.0,183.0,1674916.0,10227.378567044556,109.259210611159,1.0683012259194395
